,index,variable,value
0,price,price,1.0
1,year,price,0.4918808235471688
2,odometer,price,-0.5135214467603825
3,lat,price,0.032214430166232814
4,long,price,-0.14023743308709885
5,price,year,0.4918808235471688
6,year,year,1.0
7,odometer,year,-0.4524305567448052
8,lat,year,-0.004859257293117833
9,long,year,-0.010849580496211958
10,price,odometer,-0.5135214467603825
11,year,odometer,-0.4524305567448052
12,odometer,odometer,1.0
13,lat,odometer,0.0287065289044433
14,long,odometer,0.04269696004445784
15,price,lat,0.032214430166232814
16,year,lat,-0.004859257293117833
17,odometer,lat,0.0287065289044433
18,lat,lat,1.0
19,long,lat,-0.17063991945695048
20,price,long,-0.14023743308709885
21,year,long,-0.010849580496211958
22,odometer,long,0.04269696004445784
23,lat,long,-0.17063991945695048
24,long,long,1.0
